Rank (1–10),University,Rank (11–20),University,Rank (21–30),University,Rank (31–40),University
1,University of Cambridge,11,University of Warwick,21,Cardiff University,31,University of Strathclyde
2,University of Oxford,12,University of Edinburgh,22=,University of East Anglia,32,University of Essex
3,London School of Economics,13,University of Surrey,22=,University of Leeds,33,Harper Adams University
4,University of St Andrews,14,University of Birmingham,24=,King's College London,34,University of Reading
5,University of Bath,15,University of Bristol,24=,University of Liverpool,35,University of Aberdeen
6,Imperial College London,16=,University of York,26,University of Glasgow,36,Northumbria University
7,Loughborough University,16=,University of Southampton,27,Queen's University Belfast,37,"Royal Holloway, University of London"
8,Durham University,18,University of Exeter,28,University of Nottingham,38,University of Leicester
9,University College London,19,University of Manchester,29,University of the Arts London,39,Aberystwyth University
10,Lancaster University,20,University of Sheffield,30,Newcastle University,40,Swansea University
